,Buy-and-Hold,Continuous-Rebalance,New Rebalancing Approach
1808,1124717.366,1146737.393,1173367.701
1809,1118471.579,1140939.606,1166837.085
1810,1126833.041,1148743.282,1175579.809
1811,1121962.929,1144230.478,1170487.598
1812,1113388.718,1136252.101,1161522.382
1813,1114735.839,1137515.079,1162930.91
1814,1107318.599,1130573.277,1155175.422
1815,1101500.194,1125094.189,1149091.677
1816,1106842.118,1130150.431,1154677.171
1817,1107632.137,1130895.468,1155503.194
1818,1106610.959,1129934.614,1154435.428
1819,1101371.54,1124997.666,1148957.07
1820,1104506.911,1127966.252,1152235.393
1821,1114932.054,1137810.337,1163135.901
1822,1108930.824,1132193.922,1156860.994
1823,1116263.93,1139093.603,1164528.467
1824,1120789.355,1143325.621,1169260.23
1825,1121118.969,1143633.465,1169604.853
1826,1126821.339,1148945.429,1175567.23
1827,1131024.273,1152843.204,1179961.797
1828,1133557.916,1155185.132,1182610.952
1829,1139502.444,1160668.034,1188826.529
1830,1136788.321,1158177.91,1185988.621
1831,1132898.297,1154600.746,1181921.191
1832,1141023.567,1162097.974,1190416.951
1833,1131482.446,1153351.581,1180440.733
1834,1127631.056,1149794.513,1176413.699
1835,1126328.187,1148588.094,1175051.397
1836,1129192.685,1151246.014,1178046.496
1837,1128664.141,1150757.729,1177493.828
1838,1124560.631,1146959.526,1173203.176
1839,1124413.677,1146823.806,1173049.5
1840,1118194.576,1141047.06,1166546.787
1841,1116614.594,1139572.429,1164894.736
1842,1103764.287,1127558.138,1151458.434
1843,1103102.355,1126933.139,1150766.296
1844,1110908.597,1134315.376,1158928.481
1845,1120347.098,1143184.499,1168797.357
1846,1109159.353,1132753.816,1157099.429
1847,1104582.351,1128447.552,1152313.694
1848,1100147.059,1124258.64,1147676.132
1849,1096963.608,1121240.726,1144347.494
1850,1091643.486,1116182.966,1138784.753
1851,1093318.384,1117783.068,1140536.005
1852,1089254.872,1113908.69,1136287.175
1853,1093690.115,1118153.776,1140924.644
1854,1103760.378,1127755.354,1151454.09
1855,1102746.417,1126797.414,1150393.87
1856,1107893.261,1131668.009,1155775.389
1857,1108724.923,1132452.288,1156644.954
1858,1109860.285,1133521.811,1157832.067
1859,1101080.656,1125264.391,1148652.065
1860,1111520.767,1135158.08,1159568.223
1861,1106400.768,1130349.065,1154214.732
1862,1106431.542,1130378.772,1154246.887
1863,1091431.217,1116228.143,1138562.526
1864,1098685.573,1123160.977,1146147.659
1865,1090535.61,1115422.395,1137626.036
1866,1086860.369,1111907.961,1133783.183
1867,1082026.567,1107270.951,1128728.938
1868,1081442.111,1106708.392,1128117.809
1869,1075968.953,1101433.865,1122395.054
1870,1079631.597,1104981.965,1126224.693
1871,1080380.337,1105705.288,1127007.554
1872,1082556.829,1107805.663,1129283.273
1873,1081809.88,1107086.86,1128502.241
1874,1082708.532,1107953.305,1129441.85
1875,1092913.373,1117779.038,1140112.011
1876,1089566.285,1114585.159,1136612.274
1877,1096128.043,1120866.634,1143473.227
1878,1094690.703,1119498.891,1141970.323
1879,1102340.852,1126790.078,1149969.297
1880,1104470.803,1128807.79,1152196.353
1881,1117644.533,1141260.261,1165970.783
1882,1121927.178,1145265.286,1170448.695
1883,1119593.828,1143091.851,1168008.923
1884,1118592.474,1142157.752,1166961.886
1885,1114806.496,1138620.891,1163003.246
1886,1120235.301,1143710.584,1168679.584
1887,1118488.602,1142081.333,1166853.213
1888,1118965.473,1142527.678,1167351.808
1889,1118785.565,1142360.368,1167163.675
1890,1129055.651,1151955.44,1177902.055
1891,1125930.367,1149060.379,1174634.237
1892,1128302.372,1151264.777,1177114.384
1893,1133456.52,1156044.524,1182503.539
1894,1129603.959,1152487.924,1178475.28
1895,1136214.029,1158611.002,1185386.748
1896,1134058.058,1156625.363,1183132.444
1897,1125208.692,1148458.257,1173879.525
1898,1131658.428,1154454.732,1180623.347
1899,1142157.037,1164164.688,1191600.672
1900,1127862.136,1151054.316,1176653.901
1901,1135322.811,1157975.656,1184454.762
1902,1135076.109,1157749.014,1184196.789
1903,1130046.773,1153110.821,1178938.094
1904,1125267.254,1148684.862,1173940.608
1905,1128795.175,1151965.218,1177629.38
1906,1130880.809,1153899.425,1179810.098
1907,1124820.209,1148290.571,1173473.112
1908,1117179.876,1141185.859,1165484.359
1909,1107403.717,1132038.077,1155262.386
1910,1093889.296,1119286.549,1141131.686
1911,1088032.716,1113697.616,1135008.025
1912,1088863.883,1114495.418,1135877.071
1913,1090397.019,1115965.635,1137480.097
1914,1090992.669,1116536.473,1138102.887
1915,1097165.06,1122442.784,1144556.717
1916,1090884.582,1116465.636,1137989.829
1917,1102499.568,1127581.743,1150134.437
1918,1100592.151,1125774.921,1148140.02
1919,1096151.156,1121560.162,1143496.494
1920,1103053.044,1128136.884,1150713.087
1921,1110109.596,1134821.5,1158091.396
1922,1101900.733,1127092.733,1149508.187
1923,1098957.209,1124302.326,1146430.417
1924,1111027.576,1135777.039,1159051.171
1925,1112440.328,1137107.144,1160528.324
1926,1104377.455,1129528.756,1152097.762
1927,1103311.804,1128520.883,1150983.496
1928,1099831.53,1125225.019,1147344.501
1929,1100363.477,1125730.997,1147900.683
1930,1088789.296,1114740.785,1135798.698
1931,1079930.634,1106245.879,1126536.058
1932,1077402.211,1103802.899,1123892.318
1933,1073878.037,1100389.854,1120207.42
1934,1080328.779,1106657.839,1126952.295
1935,1080847.79,1107159.799,1127494.952
1936,1084370.58,1110562.603,1131178.359
1937,1092865.001,1118741.551,1140060.105
1938,1091343.659,1117288.031,1138469.368
1939,1091119.947,1117074.508,1138235.434
1940,1089939.427,1115945.08,1137001.06
1941,1099722.039,1125319.338,1147229.737
1942,1101337.505,1126855.303,1148918.848
1943,1095201.556,1121032.924,1142503.077
1944,1104390.309,1129799.591,1152110.817
1945,1103408.665,1128871.025,1151084.389
1946,1102751.941,1128249.496,1150397.696
