"","v_bh","v_con","v_new"
"274",883856.997708314,901439.124750928,883856.997708314
"275",698315.669920619,639109.703674817,698315.669920619
"276",860154.527558029,874515.218857702,860154.527558029
"277",934108.575546463,959857.040121749,934108.575546463
"278",851721.52994057,861675.904806328,851721.52994057
"279",1142576.68462711,1171398.11459528,1165016.28603767
"280",758681.117547184,735387.793553217,758681.117547184
"281",706550.844268562,652490.46368857,706550.844268562
"282",1131293.26355893,1160914.21840857,1131293.26355893
"283",906367.40787224,929594.146028831,906367.40787224
"284",913647.754498052,937789.69250274,913647.754498052
"285",926243.057575796,951130.943589026,926243.057575796
"286",819186.582406709,818619.507972431,819186.582406709
"287",948593.882264509,974962.292316031,948593.882264509
"288",815785.213961867,814510.80714584,815785.213961867
"289",1055030.8545652,1088351.74659818,1055030.8545652
"290",972585.755998737,1004597.60219654,1023073.4855059
"291",969647.520557271,1000461.29612356,969647.520557271
"292",920959.529673914,945208.733865835,920959.529673914
"293",824355.483591218,824571.185934354,824355.483591218
"294",1089679.64567794,1122791.04815264,1089679.64567794
"295",1149661.45459595,1179748.82483283,1149661.45459595
"296",1066258.42465235,1096707.21713577,1066258.42465235
"297",870368.803606863,883656.235587709,870368.803606863
"298",764216.027519881,744130.32885729,764216.027519881
"299",944798.159601477,972161.73953312,944798.159601477
"300",1127962.84374295,1159391.11601746,1152515.40894437
"301",969445.414769145,998295.777676873,1022649.79533047
"302",708584.191238749,656029.588119774,708584.191238749
"303",1153307.08853988,1181515.05394022,1173946.19067362
"304",842743.396150545,849495.417843529,842743.396150545
"305",900104.347316951,921552.436878863,900104.347316951
"306",884283.707458277,901592.94051115,949748.530290408
"307",1155767.21344009,1184495.17272291,1175663.1707671
"308",1302954.23867488,1314971.71498497,1298677.37836395
"309",1171657.83550168,1199916.17611257,1171657.83550168
"310",1006601.02377507,1039356.53318943,1053238.3542206
"311",1098622.56262215,1131399.04157832,1098622.56262215
"312",1292660.8430384,1302695.10897,1289817.88895937
"313",1092235.68425073,1123939.47275059,1122728.4418979
"314",1037231.28582754,1069819.65239499,1037231.28582754
"315",1039312.01313211,1071678.47766154,1078740.77386347
"316",689841.206190731,624997.752022048,689841.206190731
"317",1392475.31088878,1384630.89993782,1373127.52390194
"318",1762999.31253591,1648948.6216108,1668146.17171249
"319",718487.334822768,672198.321990103,718487.334822768
"320",727068.637462131,685654.440030494,727068.637462131
"321",1408671.45002769,1396283.27199263,1386529.04006544
"322",1202634.546674,1225147.24579575,1217077.57100099
"323",1126334.88770417,1157688.88436843,1153230.20119211
"324",1059927.93326491,1094057.91279408,1059927.93326491
"325",942256.553762472,969637.31124309,942256.553762472
"326",1212117.70187782,1234329.63142837,1224533.0408649
"327",888381.448607182,906391.974459331,888381.448607182
"328",1270387.64613082,1286346.54660138,1271267.04508165
"329",879484.660701405,894530.562445035,879484.660701405
"330",847188.547470523,855917.520874555,847188.547470523
"331",1451653.50250256,1432621.08574154,1451218.69521874
"332",1149203.44196706,1179418.96895998,1149203.44196706
"333",921517.720835799,945358.76951516,921517.720835799
"334",1150736.13463206,1180501.09757429,1173204.97543892
"335",1251884.01637754,1269092.51385969,1256026.94153667
"336",922939.429093495,948155.911328268,922939.429093495
"337",919715.06989435,942276.778104144,919715.06989435
"338",973704.102521473,1005161.83761287,1027019.46717241
"339",1110068.58995564,1142167.74201237,1139618.95051124
"340",678203.364400944,604197.952569689,678203.364400944
"341",995299.704712438,1027619.88136035,995299.704712438
"342",1391786.60412363,1384208.33624538,1372516.14822502
"343",1162614.80682086,1190281.18563244,1162614.80682086
"344",1508373.80667219,1467841.20089511,1469479.48745545
"345",856085.242737777,867422.044006299,856085.242737777
"346",779705.463480583,764211.063168545,779705.463480583
"347",1039218.75469484,1073508.18176213,1039218.75469484
"348",729202.842811951,691233.985568164,729202.842811951
"349",809974.377219269,806909.938766609,887724.75922717
"350",1048220.56475455,1081301.72786114,1048220.56475455
"351",1107677.56159825,1139281.30861135,1140120.16477038
"352",1169978.59260528,1197805.99702077,1189847.19982513
"353",844494.364796838,852101.213579334,918097.433045459
"354",1473839.78895135,1445504.25982609,1470993.19319745
"355",929337.074716772,953371.422342894,929337.074716772
"356",943975.114111851,970663.702397679,943975.114111851
"357",1096918.85836369,1128075.02420194,1096918.85836369
"358",1469514.47611184,1442565.67836748,1438321.17896868
"359",1008376.72465582,1041231.37047173,1008376.72465582
"360",1169103.86205819,1196556.58708581,1169103.86205819
