"","v_bh","v_con","v_new"
"174",900260.246857687,920149.313024958,900260.246857687
"175",667467.807794951,584443.659642694,667467.807794951
"176",1051872.21862729,1086564.71536827,1051872.21862729
"177",907318.810022583,927756.495034667,907318.810022583
"178",972399.369231049,1002086.98262855,972399.369231049
"179",1181083.44060952,1205255.53835847,1197058.54279911
"180",1337259.10341129,1341315.84454548,1326883.0853083
"181",796563.93492664,788106.31840783,796563.93492664
"182",836541.333600988,843769.175023593,836541.333600988
"183",935727.437429364,962793.026113836,935727.437429364
"184",821801.581963434,823145.098901362,899086.881520421
"185",968934.027589445,998055.584745879,1020435.15851514
"186",891598.947208298,910550.126558546,891598.947208298
"187",831062.476438335,834529.517163154,831062.476438335
"188",1018504.22307298,1051439.80719813,1063610.86802443
"189",972302.702504459,1002081.24058898,972302.702504459
"190",1111933.2229403,1143408.70575114,1111933.2229403
"191",852643.950015987,862500.114455995,852643.950015987
"192",937693.44118851,962695.730230199,937693.44118851
"193",860921.76795804,872864.940877237,860921.76795804
"194",1055533.03915753,1087756.59483677,1092254.87094921
"195",1349111.80549238,1351815.96781955,1336915.22606028
"196",1572776.43364281,1517375.98267801,1536307.36767279
"197",1199988.16331974,1224686.2174313,1214127.03539121
"198",758230.941895927,735061.532582056,758230.941895927
"199",1705061.19424115,1608700.31998437,1627928.52383551
"200",987341.446154716,1019434.85456088,987341.446154716
"201",776604.697853761,761257.254347325,776604.697853761
"202",1039550.00492717,1072377.7904029,1039550.00492717
"203",981407.677929924,1011697.02237456,1126210.18617659
"204",985304.68358887,1017167.30351004,985304.68358887
"205",964497.850792823,994423.496172931,964497.850792823
"206",702126.111677933,645924.984330294,702126.111677933
"207",1386402.03550616,1378699.04956923,1367964.52678805
"208",745406.183783935,714568.071286387,745406.183783935
"209",1064511.57899179,1098742.13205231,1064511.57899179
"210",1110664.74365354,1140979.34505217,1110664.74365354
"211",708703.65898695,657487.56240504,708703.65898695
"212",922612.500592098,946001.890781975,922612.500592098
"213",867379.492119686,880788.317175625,867379.492119686
"214",866030.43488392,880394.138636319,934923.044616467
"215",993909.649891114,1025942.51913056,993909.649891114
"216",1309639.02946115,1319227.8392496,1304879.35322144
"217",979823.018222736,1012455.76918367,979823.018222736
"218",1133830.58158396,1163993.22927162,1158010.59703936
"219",2228587.76201965,1932121.91600986,1992856.80280929
"220",1598721.69337127,1537973.39303736,1554449.63609048
"221",1041173.11126064,1075283.75510632,1081530.5249272
"222",1017515.51413142,1050035.01369448,1017515.51413142
"223",911044.508204757,932939.710470989,911044.508204757
"224",1414120.68332658,1399609.54792563,1391442.61676334
"225",1725611.42271317,1624311.32481337,1642127.23750713
"226",1856950.68017764,1710724.06008348,1734137.4454626
"227",1141930.29544347,1172082.89963769,1141930.29544347
"228",868357.522310948,882780.524969702,868357.522310948
"229",863157.560404574,875535.9128211,863157.560404574
"230",979294.119063819,1008436.69754985,979294.119063819
"231",1233189.50830878,1251912.94135616,1299599.52552469
"232",1097953.29503651,1130562.4510123,1097953.29503651
"233",1306276.53337476,1313236.03122925,1302149.43046884
"234",1184508.34632077,1208453.26263017,1200666.56452129
