"","V_bh","V_daily"
"693",887260.159893404,901711.103968255
"694",895222.665126455,911667.356666667
"695",893498.817470582,909520.042380953
"696",895752.710144684,912300.140793651
"697",895325.38376221,911756.722380953
"698",894003.229095325,910106.320158731
"699",896051.376579946,912631.284444445
"700",893893.1779685,909946.673968255
"701",883616.208864181,897186.930317461
"702",881742.134562019,894812.192539683
"703",880357.929758623,893049.49952381
"704",880440.067654866,893136.753015874
"705",884777.538597051,898605.396507937
"706",885346.2801954,899304.978412699
"707",879334.441526999,891741.464126985
"708",878087.400183258,890143.804126985
"709",876712.992769837,888380.290634921
"710",871693.956285601,881969.823650794
"711",872863.604469103,883452.690634921
"712",870254.725918793,880095.893174604
"713",875967.09725418,887424.348730159
"714",870889.276430092,880938.954126985
"715",871062.856632771,881143.823492064
"716",881213.445626974,894149.150793652
"717",884456.874688583,898234.252222223
"718",889202.570213073,904190.484444445
"719",885104.488386516,899042.39888889
"720",887440.02597708,901965.474920636
"721",889213.846542392,904176.432063493
"722",891007.261887655,906406.698571429
"723",895080.203300508,911479.514444445
"724",894858.622107515,911188.920793652
"725",896194.825920597,912834.931269842
"726",896100.610797284,912703.127301588
"727",896444.012426201,913114.015396826
"728",902074.738845127,920081.86936508
"729",901157.542963888,918938.525238096
"730",899401.03734143,916756.493492064
"731",896354.54203889,912973.074444445
"732",904179.883812286,922662.512539683
"733",902093.532727326,920086.605714286
"734",903942.466615782,922348.185714286
"735",903012.207547909,921191.795079366
"736",901899.063867164,919807.274761905
"737",903584.707922698,921872.878888889
"738",900616.59173996,918205.014444445
"739",908402.743953455,927798.595079366
"740",908187.69435378,927522.144920636
"741",907603.609731701,926794.816825397
"742",909958.742102215,929665.546984127
"743",910053.943185091,929768.040317461
"744",911546.905237778,931573.973650794
"745",914306.996393938,934924.218412699
"746",912945.652167152,933260.402222223
"747",913762.594311542,934240.222539683
"748",916584.735604213,937657.654603175
"749",910481.454629376,930262.823650794
"750",914528.26966896,935181.124920635
"751",915250.503710256,936043.788730159
"752",916211.140907618,937195.556349207
"753",917080.335798543,938236.491587302
"754",917126.549931543,938279.518571429
"755",916124.443337184,937054.595555556
"756",916598.476832438,937616.354920636
"757",916468.337945882,937445.530158731
"758",916873.78971131,937924.137460318
"759",919914.739380096,941589.290634921
"760",921388.106652832,943354.18873016
"761",928971.779473504,952467.790317461
"762",930575.778612578,954371.533174604
"763",929766.354021067,953395.83952381
"764",926589.226852189,949599.856190477
"765",928363.047417501,951711.590000001
"766",926714.313084772,949730.893174604
"767",922074.109012915,944163.386984128
"768",921636.985240465,943624.916507937
"769",915337.756466122,936032.080158731
"770",915459.083922265,936166.330158731
"771",921409.858413719,943387.038095239
"772",922442.343137566,944620.067936509
"773",921864.790108804,943912.615396826
"774",916316.694565901,937206.561111112
"775",922110.710817749,944219.112857144
"776",919227.505348131,940737.056507937
"777",918731.59723583,940124.415238096
"778",916416.640384779,937311.600158731
"779",924790.635996793,947452.551904763
"780",929879.240170419,953548.276666667
"781",930957.446047484,954824.103650794
"782",930477.866918475,954241.268253969
"783",930723.294647639,954522.61904762
"784",932242.383073594,956320.447777778
"785",933823.521636058,958192.250000001
"786",936279.893702984,961099.235714286
"787",936339.171022617,961158.352539683
"788",936747.888584703,961631.55936508
"789",934710.52444962,959206.152063492
"790",937245.275636348,962206.28952381
"791",937624.601028508,962644.698095239
"792",938699.541108915,963904.254603175
"793",941195.102735742,966842.958730159
"794",942619.483058602,968511.446031746
"795",941983.145689988,967752.716825397
"796",942274.29457237,968085.285873016
"797",942630.759387921,968493.892857143
"798",943085.198103225,969017.715714286
"799",942504.379277805,968324.274444445
"800",942465.682697685,968268.241428572
"801",947152.593882323,973768.688412699
"802",946646.888380047,973167.073809524
"803",948763.617594495,975639.255396826
"804",947918.269239741,974640.424285715
"805",947190.489564691,973779.073492064
"806",946658.657689147,973146.890952382
"807",948243.06204827,974994.774603175
"808",952031.879151838,979416.491746033
"809",951353.086426665,978617.007619049
"810",954488.744198546,982265.371746033
"811",955109.73854343,982976.610793652
"812",950871.22746056,978048.353650795
"813",950368.787754942,977452.353968255
"814",951417.601462082,978666.080476192
"815",953903.365698933,981556.246666668
"816",954054.085325003,981722.026031748
"817",955873.627043533,983829.613333335
"818",956863.656410821,984969.162063494
"819",949326.69070293,976236.260476192
"820",952560.322374564,980008.593492065
"821",959611.67033991,988203.701428573
"822",958488.729269189,986898.390952382
"823",959531.011383012,988095.612857144
"824",960801.899262925,989553.704444446
"825",963513.003469209,992674.421587303
"826",965355.405764349,994786.909841272
"827",964190.009337068,993440.199523811
"828",964553.005745936,993849.431587303
"829",966970.188252961,996616.431587303
"830",968045.128333368,997839.114761906
"831",966677.252513264,996264.317619049
"832",969430.812076107,999417.654920637
"833",970812.737042408,1000987.88333334
"834",971694.995119967,1001987.47730159
"835",962730.876272339,991741.153015875
"836",960144.858298638,988755.01777778
"837",959759.987272724,988300.411428573
"838",964299.937607732,993546.021269843
"839",966736.714894708,996342.821587304
"840",959954.148214916,988546.135079367
"841",960682.913849528,989380.484920637
"842",968080.436260669,997933.626507939
"843",964913.106481767,994298.065555558
"844",961353.881103852,990191.521746034
"845",965211.279937247,994635.477142859
"846",964663.119078411,993995.661269843
"847",956567.702141927,984666.461587303
"848",959602.120217396,988187.672698414
"849",957065.089193572,985241.990793653
"850",952362.834985204,979775.53777778
"851",944241.291675453,970265.7784127
"852",949780.575787943,976785.241904764
"853",951609.914896449,978920.383492065
"854",957913.395427014,986283.524444446
"855",956447.545707157,984572.985238097
"856",957718.43358707,986042.172539684
"857",961716.261676778,990672.287460319
"858",963107.984033054,992274.009047621
"859",961968.71397904,990949.904126986
"860",965029.258427777,994483.213650796
"861",967949.373620201,997836.470158732
"862",967195.467571883,996962.283650796
