"","V_bh","V_daily"
"494",1058986.47486268,1063252.60480635
"495",1062002.80218941,1066227.03354444
"496",1063874.26613652,1068068.29189365
"497",1065974.70275954,1070131.35617143
"498",1070364.86614185,1074433.58807778
"499",1067656.8765704,1071793.72641428
"500",1066399.04727983,1070565.44177619
"501",1069262.72615595,1073372.03781905
"502",1076095.26474814,1080048.87373651
"503",1078043.05292055,1081942.78552222
"504",1079227.59883987,1083093.83123651
"505",1073237.66758013,1077296.17973333
"506",1075719.72532971,1079715.40937143
"507",1077514.8650515,1081462.19244762
"508",1080073.24702638,1083946.84231587
"509",1081486.76562163,1085317.99838571
"510",1074580.94365818,1078644.4153746
"511",1081184.50957445,1085071.57489524
"512",1084506.13380242,1088287.39711111
"513",1081034.90197789,1084942.7141746
"514",1081761.50254535,1085648.69145397
"515",1085541.07212518,1089306.44694285
"516",1084283.24283461,1088097.41675238
"517",1083864.98002244,1087696.99654285
"518",1080546.39664852,1084496.44006031
"519",1083410.07552464,1087272.29169365
"520",1081160.03130505,1085102.02920158
"521",1077917.77215644,1081966.68030793
"522",1082689.55666529,1086601.93066666
"523",1080973.78202286,1084946.20579206
"524",1080631.843436,1084618.00712539
"525",1081969.03780593,1085916.20938571
"526",1079718.99358634,1083742.02346508
"527",1078766.46119701,1082821.22584285
"528",1075371.55359778,1079529.11143809
"529",1079074.7989523,1083136.9441492
"530",1075450.91867714,1079623.03658095
"531",1076635.46459646,1080778.84569206
"532",1082017.84290778,1086016.76148571
"533",1085263.14291045,1089161.43609206
"534",1084081.63784519,1088023.99080952
"535",1086640.01982007,1090499.62540793
"536",1094541.09756659,1098122.22174444
"537",1096412.56151369,1099918.43699524
"538",1090498.95447926,1094267.29253809
"539",1087485.66800658,1091374.06339524
"540",1090425.67110801,1094211.34634127
"541",1086420.16970631,1090363.4331619
"542",1083177.9105577,1087237.82968889
"543",1086728.5074616,1090677.26663174
"544",1087607.75647968,1091528.84929523
"545",1091234.6776089,1095029.22676825
"546",1093640.41113316,1097345.1553619
"547",1092993.17564506,1096727.95142063
"548",1087155.89283594,1091128.50686984
"549",1083379.36411017,1087487.73893333
"550",1082503.15594614,1086642.30853968
"551",1080863.70552902,1085056.46726349
"552",1084261.65398231,1088357.03089523
"553",1087201.65708374,1091204.96991111
"554",1087775.60920058,1091762.13820158
"555",1090181.34272485,1094086.41756508
"556",1092129.13089726,1095965.19193015
"557",1096213.99737832,1099895.32022381
"558",1092513.79287786,1096354.6356746
"559",1092477.15119223,1096322.94010476
"560",1101523.09231839,1105021.30689841
"561",1099578.34500004,1103170.62608888
"562",1099083.75796256,1102702.07405079
"563",1096375.76839111,1100117.44253968
"564",1100842.25599872,1104401.13365396
"565",1110117.16980081,1113259.04129841
"566",1118094.57177264,1120819.42707619
"567",1127216.8371241,1129407.44006825
"568",1121074.25741375,1123677.13512063
"569",1119511.13122194,1122215.2609873
"570",1125351.45488511,1127710.3853619
"571",1127757.18840938,1129966.62898571
"572",1131613.08221452,1133572.7278746
"573",1140353.72643944,1141714.72208412
"574",1138561.6275717,1140064.95621746
"575",1148294.48672564,1149081.21262222
"576",1137648.77772205,1139309.61179682
"577",1134024.89744689,1135958.25315555
"578",1130172.04449581,1132383.65603015
"579",1139904.90364975,1141464.60944762
"580",1141242.09801969,1142708.26233492
"581",1149906.4180193,1150722.34904127
"582",1140558.22084596,1142149.24713492
"583",1145024.70845357,1146286.79039523
"584",1143385.25803646,1144782.7434492
"585",1147317.4760669,1148418.56554762
"586",1146364.94367757,1147549.22196666
"587",1150831.43128518,1151669.02790317
"588",1161098.56001628,1161097.49176984
"589",1163504.29354055,1163295.28844285
"590",1160872.62819441,1160912.09868095
"591",1160607.01383286,1160678.10268095
"592",1153014.27384163,1153770.26474444
"593",1153664.55018378,1154373.52616666
"594",1148132.5642759,1149313.76189841
"595",1142447.9299174,1144090.38951746
"596",1143632.47583672,1145192.03522381
"597",1139779.62288564,1141640.3984127
"598",1139895.62965063,1141754.36044444
"599",1143675.19923046,1145262.6151127
"600",1145775.63585349,1147209.59596508
"601",1143830.88853513,1145422.92134603
"602",1142725.70769518,1144408.72879841
"603",1140780.96037682,1142617.17726825
"604",1145629.06911098,1147113.85410952
"605",1150248.20516921,1151382.38261746
"606",1147769.18827369,1149110.58565555
"607",1133383.59222995,1135865.93035555
"608",1131667.81758752,1134272.64825555
"609",1132928.68773215,1135455.55596349
"610",1128694.21365453,1131512.48015397
"611",1128199.62661704,1131055.26895079
"612",1125415.31282029,1128453.75083809
"613",1128050.01902048,1130932.16505079
"614",1130303.10409413,1133048.09330158
"615",1124236.84860908,1127382.19831746
"616",1123436.96467036,1126635.86861111
"617",1113859.7948211,1117634.39665873
"618",1114815.36806449,1118545.07603651
"619",1114320.78102701,1118081.19176032
"620",1117184.45990313,1120800.3867746
"621",1123101.10779161,1126400.58176349
"622",1116653.23118002,1120337.83100158
"623",1115929.67146661,1119657.95708095
"624",1112153.14274084,1116086.63041428
"625",1112116.50105521,1116056.31802698
"626",1112156.1835949,1116098.50850317
"627",1108532.30331974,1112659.69097936
"628",1109716.84923906,1113793.01603492
"629",1104108.53910587,1108456.57667301
"630",1101858.49488628,1106307.2625619
"631",1104951.14643832,1109276.58408571
"632",1103769.64137306,1108150.53038412
"633",1099840.46419667,1104392.363
"634",1102398.84617155,1106854.06762222
"635",1104422.95856927,1108798.44808254
"636",1118582.62279114,1122355.13403492
